yawrate,speed,course,latitude,longitude,altitude
-0.1391,43.22,29.18,51.040073,13.792956,114.73
-0.1391,43.22,29.18,51.040073,13.792956,114.73
-0.2782,43.22,29.18,51.040084,13.792965,114.73
-0.4869,43.9099,29.18,51.040084,13.792965,114.77
-0.4869,43.9099,29.18,51.040084,13.792965,114.77
-0.4173,43.9099,29.18,51.040084,13.792965,114.77
-0.626,43.9099,29.18,51.040084,13.792965,114.77
-0.4869,43.9099,29.18,51.040094,13.792974,114.77
-0.2782,44.42,29.4,51.040094,13.792974,114.82
-0.4173,44.42,29.4,51.040094,13.792974,114.82
-0.3478,44.42,29.4,51.040094,13.792974,114.82
-0.2086,44.42,29.4,51.040094,13.792974,114.82
-0.2086,44.42,29.4,51.040105,13.792984,114.82
-0.5565,45.25,29.28,51.040105,13.792984,114.86
-0.5565,45.25,29.28,51.040105,13.792984,114.86
-0.7652,45.25,29.28,51.040105,13.792984,114.86
-0.6956,45.25,29.28,51.040105,13.792984,114.86
-0.7652,45.25,29.28,51.040115,13.792992,114.86
-0.0695,45.33,29.2,51.040115,13.792992,114.9
-0.0695,45.33,29.2,51.040115,13.792992,114.9
0.2782,45.33,29.2,51.040115,13.792992,114.9
0.626,45.33,29.2,51.040115,13.792992,114.9
0.626,45.33,29.2,51.040125,13.793001,114.9
0.4173,45.85,29.16,51.040125,13.793001,114.96
-0.0695,45.85,29.16,51.040125,13.793001,114.96
-0.2086,45.85,29.16,51.040125,13.793001,114.96
-0.626,45.85,29.16,51.040125,13.793001,114.96
0.0695,45.85,29.16,51.040136,13.79301,114.96
0.0,46.35,29.08,51.040136,13.79301,115.01
-0.1391,46.35,29.08,51.040136,13.79301,115.01
0.0695,46.35,29.08,51.040136,13.79301,115.01
0.4869,46.35,29.08,51.040136,13.79301,115.01
0.0695,46.35,29.08,51.040147,13.793019,115.01
-0.0695,46.97,28.84,51.040147,13.793019,115.06
0.2086,46.97,28.84,51.040147,13.793019,115.06
0.2086,46.97,28.84,51.040147,13.793019,115.06
0.2086,46.97,28.84,51.040147,13.793019,115.06
0.1391,46.97,28.84,51.040158,13.793028,115.06
0.2782,47.34,28.85,51.040158,13.793028,115.11
0.3478,47.34,28.85,51.040158,13.793028,115.11
0.1391,47.34,28.85,51.040158,13.793028,115.11
0.2086,47.34,28.85,51.040158,13.793028,115.11
-0.2086,47.34,28.85,51.040169,13.793037,115.11
0.0695,47.6599,28.9,51.040169,13.793037,115.16
0.1391,47.6599,28.9,51.040169,13.793037,115.16
0.0,47.6599,28.9,51.040169,13.793037,115.16
0.1391,47.6599,28.9,51.040169,13.793037,115.16
0.0695,47.6599,28.9,51.040179,13.793046,115.16
-0.4173,47.7299,28.9,51.040179,13.793046,115.2
0.0,47.7299,28.9,51.040179,13.793046,115.2
0.0695,47.7299,28.9,51.040179,13.793046,115.2
-0.5565,47.7299,28.9,51.040179,13.793046,115.2
-0.3478,47.7299,28.9,51.04019,13.793055,115.2
-1.8086,48.35,28.75,51.04019,13.793055,115.25
-0.8347,48.35,28.75,51.04019,13.793055,115.25
-0.6956,48.35,28.75,51.04019,13.793055,115.25
-0.626,48.35,28.75,51.04019,13.793055,115.25
-0.9739,48.35,28.75,51.040201,13.793064,115.25
0.1391,48.44,28.84,51.040201,13.793064,115.3
0.3478,48.44,28.84,51.040201,13.793064,115.3
1.1826,48.44,28.84,51.040201,13.793064,115.3
1.2521,48.44,28.84,51.040201,13.793064,115.3
0.2782,48.44,28.84,51.040212,13.793072,115.3
0.626,48.76,28.32,51.040212,13.793072,115.35
0.9739,48.76,28.32,51.040212,13.793072,115.35
0.1391,48.76,28.32,51.040212,13.793072,115.35
0.2782,48.76,28.32,51.040212,13.793072,115.35
-0.2782,48.76,28.32,51.040223,13.793081,115.35
0.1391,48.78,28.22,51.040223,13.793081,115.39
0.9043,48.78,28.22,51.040223,13.793081,115.39
1.113,48.78,28.22,51.040223,13.793081,115.39
0.4869,48.78,28.22,51.040223,13.793081,115.39
0.4869,48.78,28.22,51.040233,13.793089,115.39
0.626,48.9099,28.37,51.040233,13.793089,115.44
0.5565,48.9099,28.37,51.040233,13.793089,115.44
-0.1391,48.9099,28.37,51.040233,13.793089,115.44
-0.1391,48.9099,28.37,51.040233,13.793089,115.44
-0.1391,48.9099,28.37,51.040243,13.793098,115.44
-0.4869,48.64,28.59,51.040243,13.793098,115.53
-0.626,48.64,28.59,51.040243,13.793098,115.53
